line,sequence,station,
blue,1,Dublin,
blue,2,West Dublin,
blue,3,Castro Valley,
blue,4,Bay Fair,
blue,5,San Leandro,
blue,6,Coliseum,
blue,7,Fruitvale,
blue,8,Lake Merritt,
blue,9,West Oakland,
blue,10,Embarcadero,
blue,11,Montgomery Street,
blue,12,Powell Street,
blue,13,Civic Center,
blue,14,16th Street Mission,
blue,15,24th Street Mission,
blue,16,Glen Park,
blue,17,Balboa Park,
blue,18,Daly City,
gray,1,OAK,
gray,2,Coliseum,
green,1,Berryessa,
green,2,Milpitas,
green,3,Warm Springs,
green,4,Fremont,
green,5,Union City,
green,6,South Hayward,
green,7,Hayward,
green,8,Bay Fair,
green,9,San Leandro,
green,10,Coliseum,
green,11,Fruitvale,
green,12,Lake Merritt,
green,13,West Oakland,
green,14,Embarcadero,
green,15,Montgomery Street,
green,16,Powell Street,
green,17,Civic Center,
green,18,16th Street Mission,
green,19,24th Street Mission,
green,20,Glen Park,
green,21,Balboa Park,
green,22,Daly City,
orange,1,Richmond,
orange,2,El Cerrito del Norte,
orange,3,El Cerrito Plaza,
orange,4,North Berkeley,
orange,5,Downtown Berkeley,
orange,6,Ashby,
orange,7,MacArthur,
orange,8,19th Street,
orange,9,12th Street,
orange,10,Lake Merritt,
red,1,12th Street,
red,2,West Oakland,
red,3,Embarcadero,
red,4,Montgomery Street,
red,5,Powell Street,
red,6,Civic Center,
red,7,16th Street Mission,
red,8,24th Street Mission,
red,9,Glen Park,
red,10,Balboa Park,
red,11,Daly City,
red,12,Colma,
red,13,South San Francisco,
red,14,San Bruno,
red,15,Millbrae,
red,16,SFO,
yellow,1,Antioch,
yellow,2,Pittsburg Center,
yellow,3,Pittsburg,
yellow,4,North Concord,
yellow,5,Concord,
yellow,6,Pleasant Hill,
yellow,7,Walnut Creek,
yellow,8,Lafayette,
yellow,9,Orinda,
yellow,10,Rockridge,
yellow,11,MacArthur,
black,1,San Bruno,
black,2,SFO,
,,,
,,,
,,,
,,,
,,,
,,,
